0.0,19290.0,W
19290.0,150.0,1
19440.0,900.0,2
20340.0,30.0,1
20370.0,510.0,2
20880.0,60.0,3
20940.0,30.0,2
20970.0,120.0,4
21090.0,30.0,3
21120.0,30.0,4
21150.0,30.0,3
21180.0,30.0,4
21210.0,90.0,3
21300.0,30.0,4
21330.0,120.0,3
21450.0,90.0,4
21540.0,60.0,3
21600.0,90.0,2
21690.0,30.0,1
21720.0,390.0,2
22110.0,60.0,3
22170.0,60.0,2
22230.0,60.0,3
22290.0,30.0,2
22320.0,30.0,3
22350.0,60.0,2
22410.0,60.0,3
22470.0,60.0,2
22530.0,90.0,3
22620.0,30.0,4
22650.0,120.0,3
22770.0,330.0,2
23100.0,90.0,3
23190.0,30.0,2
23220.0,60.0,3
23280.0,30.0,2
23310.0,30.0,4
23340.0,1020.0,2
24360.0,30.0,W
24390.0,30.0,1
24420.0,780.0,2
25200.0,360.0,R
25560.0,150.0,1
25710.0,180.0,2
25890.0,30.0,R
25920.0,30.0,2
25950.0,480.0,R
26430.0,30.0,2
26460.0,30.0,R
26490.0,30.0,2
26520.0,60.0,1
26580.0,60.0,R
26640.0,180.0,1
26820.0,420.0,2
27240.0,30.0,3
27270.0,390.0,2
27660.0,30.0,3
27690.0,60.0,2
27750.0,30.0,3
27780.0,60.0,2
27840.0,30.0,3
27870.0,30.0,2
27900.0,180.0,3
28080.0,30.0,2
28110.0,90.0,3
28200.0,30.0,2
28230.0,60.0,3
28290.0,180.0,2
28470.0,30.0,3
28500.0,30.0,2
28530.0,330.0,3
28860.0,30.0,4
28890.0,240.0,3
29130.0,90.0,4
29220.0,30.0,3
29250.0,90.0,W
29340.0,30.0,1
29370.0,1020.0,2
30390.0,30.0,1
30420.0,870.0,2
31290.0,30.0,1
31320.0,720.0,2
32040.0,90.0,R
32130.0,60.0,1
32190.0,270.0,R
32460.0,60.0,1
32520.0,30.0,W
32550.0,30.0,1
32580.0,150.0,2
32730.0,420.0,R
33150.0,150.0,1
33300.0,150.0,2
33450.0,420.0,R
33870.0,60.0,1
33930.0,690.0,R
34620.0,30.0,1
34650.0,120.0,R
34770.0,60.0,1
34830.0,120.0,2
34950.0,540.0,W
35490.0,150.0,1
35640.0,540.0,2
36180.0,30.0,1
36210.0,960.0,2
37170.0,30.0,3
37200.0,60.0,2
37260.0,30.0,3
37290.0,90.0,2
37380.0,180.0,3
37560.0,30.0,2
37590.0,120.0,3
37710.0,30.0,2
37740.0,30.0,W
37770.0,30.0,1
37800.0,30.0,2
37830.0,60.0,W
37890.0,30.0,1
37920.0,1680.0,2
39600.0,30.0,1
39630.0,330.0,2
39960.0,30.0,W
39990.0,60.0,1
40050.0,30.0,W
40080.0,30.0,1
40110.0,390.0,2
40500.0,240.0,R
40740.0,60.0,1
40800.0,30.0,2
40830.0,120.0,R
40950.0,60.0,1
41010.0,180.0,R
41190.0,30.0,1
41220.0,450.0,R
41670.0,150.0,1
41820.0,30.0,2
41850.0,60.0,1
41910.0,420.0,2
42330.0,30.0,1
42360.0,150.0,2
42510.0,30.0,1
42540.0,30.0,R
42570.0,30.0,W
42600.0,30.0,1
42630.0,1230.0,2
43860.0,60.0,1
43920.0,1140.0,2
45060.0,120.0,R
45180.0,30.0,W
45210.0,90.0,1
45300.0,30.0,W
45330.0,90.0,1
45420.0,480.0,2
45900.0,60.0,1
45960.0,120.0,W
46080.0,30.0,1
46110.0,300.0,2
46410.0,30.0,1
46440.0,120.0,W
46560.0,210.0,1
46770.0,360.0,2
47130.0,1170.0,R
48300.0,60.0,W
48360.0,60.0,1
48420.0,480.0,2
48900.0,30.0,W
48930.0,90.0,1
49020.0,1080.0,2
50100.0,60.0,1
50160.0,1110.0,2
51270.0,34170.0,W
85440.0,960.0,?
